,strike,impliedVolatility,option_type,root,root price,ER Date,Expiry,fee,daysout,OTM,ARR,PctOTM,POW,PctFee
0,95.0,48,call,ACLS,85.41,,2023-01-20,2.02,36,9.59,23,11.23,75,2.37
1,370.0,44,call,ADBE,340.3,2022-12-15 13:00,2023-01-13,6.88,29,29.7,25,8.73,74,2.02
2,370.0,42,call,ADBE,340.3,2022-12-15 13:00,2023-01-20,7.74,36,29.7,22,8.73,73,2.27
3,360.0,50,call,ADBE,340.3,2022-12-15 13:00,2022-12-30,6.84,15,19.7,48,5.79,70,2.01
4,365.0,45,call,ADBE,340.3,2022-12-15 13:00,2023-01-13,8.29,29,24.7,30,7.26,70,2.44
5,360.0,45,call,ADBE,340.3,2022-12-15 13:00,2023-01-06,7.94,22,19.7,38,5.79,69,2.33
6,365.0,42,call,ADBE,340.3,2022-12-15 13:00,2023-01-20,9.15,36,24.7,27,7.26,69,2.69
12,17.5,57,call,AFYA,15.07,,2023-01-20,0.52,36,2.43,35,16.12,79,3.48
13,79.0,49,call,AMD,68.85,2023-01-30 13:00,2023-01-27,1.57,43,10.15,19,14.74,79,2.28
14,77.5,48,call,AMD,68.85,2023-01-30 13:00,2023-01-20,1.5,36,8.65,21,12.56,78,2.18
15,78.0,49,call,AMD,68.85,2023-01-30 13:00,2023-01-27,1.79,43,9.15,21,13.29,76,2.6
16,76.0,49,call,AMD,68.85,2023-01-30 13:00,2023-01-13,1.56,29,7.15,28,10.38,75,2.27
17,77.0,50,call,AMD,68.85,2023-01-30 13:00,2023-01-27,2.03,43,8.15,24,11.84,74,2.96
18,74.0,47,call,AMD,68.85,2023-01-30 13:00,2023-01-06,1.47,22,5.15,35,7.48,73,2.14
19,75.0,50,call,AMD,68.85,2023-01-30 13:00,2023-01-13,1.83,29,6.15,33,8.93,72,2.66
20,76.0,50,call,AMD,68.85,2023-01-30 13:00,2023-01-27,2.31,43,7.15,28,10.38,71,3.35
21,75.0,49,call,AMD,68.85,2023-01-30 13:00,2023-01-20,2.14,36,6.15,31,8.93,70,3.1
22,73.0,47,call,AMD,68.85,2023-01-30 13:00,2023-01-06,1.77,22,4.15,42,6.03,69,2.57
23,74.0,50,call,AMD,68.85,2023-01-30 13:00,2023-01-13,2.12,29,5.15,38,7.48,69,3.09
31,170.0,52,call,AMR,146.7,,2023-01-20,3.03,36,23.3,20,15.88,81,2.06
32,165.0,53,call,AMR,146.7,,2023-01-20,4.2,36,18.3,28,12.47,75,2.86
33,160.0,54,call,AMR,146.7,,2023-01-20,5.6,36,13.3,38,9.07,69,3.82
35,99.0,38,call,AMZN,91.67,2023-02-01 02:59,2023-01-20,1.89,36,7.33,20,8.0,73,2.06
36,100.0,40,call,AMZN,91.67,2023-02-01 02:59,2023-01-27,2.13,43,8.33,19,9.09,73,2.33
37,98.0,39,call,AMZN,91.67,2023-02-01 02:59,2023-01-13,1.85,29,6.33,25,6.91,72,2.02
38,98.0,38,call,AMZN,91.67,2023-02-01 02:59,2023-01-20,2.18,36,6.33,23,6.91,70,2.38
39,99.0,41,call,AMZN,91.67,2023-02-01 02:59,2023-01-27,2.42,43,7.33,22,8.0,70,2.64
40,97.5,39,call,AMZN,91.67,2023-02-01 02:59,2023-01-20,2.36,36,5.83,25,6.36,69,2.58
46,25.0,46,call,ARNC,22.48,2023-02-16 05:30,2023-01-20,0.47,36,2.52,21,11.21,76,2.11
48,60.0,43,call,ASO,54.18,,2023-01-20,1.27,36,5.82,23,10.74,77,2.34
49,59.0,46,call,ASO,54.18,,2023-01-13,1.37,29,4.82,31,8.9,74,2.53
50,58.0,44,call,ASO,54.18,,2023-01-06,1.26,22,3.82,38,7.05,73,2.32
51,58.0,47,call,ASO,54.18,,2023-01-13,1.7,29,3.82,39,7.05,69,3.13
57,200.0,38,call,BA,188.54,2023-01-24 05:30,2023-01-13,3.94,29,11.46,26,6.08,70,2.09
61,15.0,60,call,BGSF,13.45,,2023-01-20,0.75,36,1.55,56,11.52,71,5.58
62,305.0,37,call,BIIB,287.6,2023-02-01 05:30,2023-01-20,7.25,36,17.4,25,6.05,69,2.52
64,220.0,55,call,BNTX,187.65,2022-11-07 05:00,2023-01-20,3.81,36,32.35,20,17.24,81,2.03
65,210.0,54,call,BNTX,187.65,2022-11-07 05:00,2023-01-13,4.45,29,22.35,29,11.91,76,2.37
66,210.0,54,call,BNTX,187.65,2022-11-07 05:00,2023-01-20,5.4,36,22.35,29,11.91,74,2.88
67,200.0,50,call,BNTX,187.65,2022-11-07 05:00,2022-12-30,3.8,15,12.35,48,6.58,73,2.03
68,200.0,51,call,BNTX,187.65,2022-11-07 05:00,2023-01-06,5.22,22,12.35,45,6.58,69,2.78
76,43.0,59,call,CAG,38.48,2023-01-04 04:30,2022-12-30,0.83,15,4.52,51,11.75,82,2.14
77,104.0,46,call,CF,93.0,2023-02-13 02:59,2023-01-27,2.19,43,11.0,19,11.83,75,2.35
78,101.0,46,call,CF,93.0,2023-02-13 02:59,2023-01-13,2.04,29,8.0,27,8.6,73,2.19
79,103.0,46,call,CF,93.0,2023-02-13 02:59,2023-01-27,2.46,43,10.0,22,10.75,73,2.65
80,102.0,45,call,CF,93.0,2023-02-13 02:59,2023-01-27,2.61,43,9.0,23,9.68,72,2.81
81,100.0,46,call,CF,93.0,2023-02-13 02:59,2023-01-13,2.3,29,7.0,30,7.53,71,2.47
82,100.0,45,call,CF,93.0,2023-02-13 02:59,2023-01-20,2.77,36,7.0,30,7.53,69,2.98
86,95.0,61,call,CPA,82.36,,2023-01-20,1.91,36,12.64,23,15.35,76,2.32
87,143.0,38,call,CRM,134.91,2023-02-27 02:59,2023-01-13,2.89,29,8.09,26,6.0,70,2.14
88,145.0,39,call,CRM,134.91,2023-02-27 02:59,2023-01-27,3.48,43,10.09,21,7.48,70,2.58
92,135.0,48,call,CRWD,121.1,2022-11-29 14:00,2023-01-20,2.75,36,13.9,22,11.48,75,2.27
93,135.0,50,call,CRWD,121.1,2022-11-29 14:00,2023-01-27,3.45,43,13.9,24,11.48,73,2.85
94,130.0,49,call,CRWD,121.1,2022-11-29 14:00,2023-01-13,3.35,29,8.9,34,7.35,69,2.77
99,60.0,44,call,DAC,54.4,2023-02-06 02:59,2023-01-20,1.18,36,5.6,21,10.29,75,2.16
101,95.0,57,call,DDOG,81.35,2023-02-08 05:30,2023-01-20,1.68,36,13.65,20,16.78,80,2.07
102,90.0,58,call,DDOG,81.35,2023-02-08 05:30,2023-01-13,2.3,29,8.65,35,10.63,72,2.83
103,87.0,56,call,DDOG,81.35,2023-02-08 05:30,2022-12-30,1.68,15,5.65,49,6.95,71,2.07
104,90.0,58,call,DDOG,81.35,2023-02-08 05:30,2023-01-20,2.72,36,8.65,33,10.63,70,3.35
115,92.5,34,call,DHI,86.42,2023-01-31 05:30,2023-01-20,1.86,36,6.08,21,7.04,73,2.16
116,91.0,35,call,DHI,86.42,2023-01-31 05:30,2023-01-13,2.09,29,4.58,30,5.3,69,2.42
118,69.0,44,call,DVN,62.05,2023-02-13 02:59,2023-01-27,1.45,43,6.95,19,11.2,75,2.33
119,67.0,44,call,DVN,62.05,2023-02-13 02:59,2023-01-13,1.36,29,4.95,27,7.98,72,2.19
120,68.0,45,call,DVN,62.05,2023-02-13 02:59,2023-01-27,1.74,43,5.95,23,9.59,72,2.8
125,400.0,49,call,EPAM,354.83,2023-02-15 05:30,2023-01-20,7.22,36,45.17,20,12.73,78,2.04
126,390.0,52,call,EPAM,354.83,2023-02-15 05:30,2023-01-20,10.35,36,35.17,29,9.91,71,2.92
129,101.0,46,call,EXPE,92.8,2023-02-08 02:59,2023-01-13,2.02,29,8.2,27,8.84,74,2.18
130,102.0,46,call,EXPE,92.8,2023-02-08 02:59,2023-01-27,2.64,43,9.2,23,9.91,72,2.84
131,100.0,46,call,EXPE,92.8,2023-02-08 02:59,2023-01-13,2.27,29,7.2,30,7.76,71,2.44
132,100.0,44,call,EXPE,92.8,2023-02-08 02:59,2023-01-20,2.66,36,7.2,28,7.76,70,2.87
133,99.0,46,call,EXPE,92.8,2023-02-08 02:59,2023-01-13,2.54,29,6.2,34,6.68,69,2.74
138,190.0,39,call,FDX,178.14,2022-12-20 13:00,2023-01-13,3.69,29,11.86,25,6.66,71,2.07
139,190.0,37,call,FDX,178.14,2022-12-20 13:00,2023-01-20,4.17,36,11.86,23,6.66,70,2.34
140,187.5,40,call,FDX,178.14,2022-12-20 13:00,2023-01-06,3.66,22,9.36,33,5.25,69,2.06
145,8.5,73,call,FSR,7.22,2022-11-02 14:00,2023-01-06,0.17,22,1.28,39,17.73,81,2.39
146,8.5,77,call,FSR,7.22,2022-11-02 14:00,2023-01-13,0.25,29,1.28,42,17.73,77,3.43
147,8.0,71,call,FSR,7.22,2022-11-02 14:00,2022-12-30,0.18,15,0.78,59,10.8,76,2.49
148,8.0,71,call,FSR,7.22,2022-11-02 14:00,2023-01-06,0.26,22,0.78,59,10.8,71,3.64
157,95.0,66,call,HUBG,80.9,,2023-01-20,3.6,36,14.1,44,17.43,77,4.45
158,90.0,65,call,HUBG,80.9,,2023-01-20,3.6,36,9.1,44,11.25,69,4.45
159,30.0,34,call,INTC,28.3,2023-01-24 13:00,2023-01-20,0.59,36,1.7,21,6.01,70,2.09
161,36.0,54,call,IPI,31.92,2022-11-03 09:00,2023-01-20,0.82,36,4.08,26,12.78,75,2.58
162,35.0,55,call,IPI,31.92,2022-11-03 09:00,2023-01-20,1.07,36,3.08,33,9.65,70,3.37
165,505.0,42,call,LRCX,467.0,2023-01-24 02:59,2023-01-13,9.81,29,38.0,26,8.14,74,2.1
166,510.0,42,call,LRCX,467.0,2023-01-24 02:59,2023-01-20,10.49,36,43.0,22,9.21,74,2.25
167,505.0,42,call,LRCX,467.0,2023-01-24 02:59,2023-01-20,11.85,36,38.0,25,8.14,72,2.54
168,500.0,42,call,LRCX,467.0,2023-01-24 02:59,2023-01-13,11.12,29,33.0,29,7.07,71,2.38
169,490.0,38,call,LRCX,467.0,2023-01-24 02:59,2023-01-06,9.99,22,23.0,35,4.93,69,2.14
170,500.0,42,call,LRCX,467.0,2023-01-24 02:59,2023-01-20,13.36,36,33.0,28,7.07,69,2.86
174,130.0,44,call,META,121.75,2023-01-31 02:59,2023-01-13,3.06,29,8.25,31,6.78,70,2.52
184,50.0,43,call,MOS,45.43,2023-02-20 13:00,2023-01-20,0.96,36,4.57,21,10.06,75,2.11
185,49.0,44,call,MOS,45.43,2023-02-20 13:00,2023-01-13,1.02,29,3.57,27,7.86,72,2.23
186,50.0,45,call,MOS,45.43,2023-02-20 13:00,2023-01-27,1.2,43,4.57,22,10.06,72,2.65
187,48.0,41,call,MOS,45.43,2023-02-20 13:00,2023-01-06,0.93,22,2.57,33,5.66,70,2.05
191,14.0,58,call,MPW,12.18,2023-02-01 05:30,2023-01-20,0.28,36,1.82,22,14.94,77,2.26
192,13.5,58,call,MPW,12.18,2023-02-01 05:30,2023-01-06,0.25,22,1.32,33,10.84,76,2.05
193,14.0,55,call,MPW,12.18,2023-02-01 05:30,2023-01-27,0.34,43,1.82,23,14.94,76,2.77
194,13.5,60,call,MPW,12.18,2023-02-01 05:30,2023-01-13,0.32,29,1.32,33,10.84,72,2.67
195,13.0,59,call,MPW,12.18,2023-02-01 05:30,2022-12-30,0.26,15,0.82,51,6.73,70,2.16
207,235.0,60,call,MRNA,208.6,2023-02-22 05:30,2023-01-06,4.61,22,26.4,36,12.66,78,2.21
208,240.0,64,call,MRNA,208.6,2023-02-22 05:30,2023-01-13,5.78,29,31.4,34,15.05,77,2.77
209,240.0,63,call,MRNA,208.6,2023-02-22 05:30,2023-01-20,6.97,36,31.4,33,15.05,75,3.34
210,230.0,60,call,MRNA,208.6,2023-02-22 05:30,2023-01-06,5.66,22,21.4,44,10.26,74,2.71
211,225.0,60,call,MRNA,208.6,2023-02-22 05:30,2022-12-30,5.14,15,16.4,59,7.86,73,2.46
212,230.0,64,call,MRNA,208.6,2023-02-22 05:30,2023-01-13,8.12,29,21.4,48,10.26,70,3.9
213,225.0,60,call,MRNA,208.6,2023-02-22 05:30,2023-01-06,7.1,22,16.4,55,7.86,69,3.4
229,49.0,51,call,MRVL,42.73,2022-11-30 16:00,2023-01-27,1.0,43,6.27,19,14.67,78,2.34
230,47.0,51,call,MRVL,42.73,2022-11-30 16:00,2023-01-13,1.07,29,4.27,31,9.99,74,2.5
231,48.0,50,call,MRVL,42.73,2022-11-30 16:00,2023-01-27,1.23,43,5.27,24,12.33,74,2.87
232,46.0,47,call,MRVL,42.73,2022-11-30 16:00,2023-01-06,0.86,22,3.27,32,7.65,73,2.01
233,47.0,49,call,MRVL,42.73,2022-11-30 16:00,2023-01-20,1.2,36,4.27,28,9.99,72,2.8
234,46.0,51,call,MRVL,42.73,2022-11-30 16:00,2023-01-13,1.34,29,3.27,39,7.65,69,3.13
238,60.0,43,call,MU,54.63,2022-12-21 13:00,2023-01-20,1.18,36,5.37,21,9.83,75,2.16
239,60.0,44,call,MU,54.63,2022-12-21 13:00,2023-01-27,1.44,43,5.37,22,9.83,73,2.64
240,59.0,45,call,MU,54.63,2022-12-21 13:00,2023-01-13,1.25,29,4.37,28,8.0,72,2.28
241,58.0,43,call,MU,54.63,2022-12-21 13:00,2023-01-06,1.15,22,3.37,34,6.17,71,2.11
248,370.0,54,call,NFLX,318.15,2023-01-18 13:00,2023-01-20,6.55,36,51.85,20,16.3,80,2.06
249,375.0,54,call,NFLX,318.15,2023-01-18 13:00,2023-01-27,7.31,43,56.85,19,17.87,80,2.3
250,365.0,54,call,NFLX,318.15,2023-01-18 13:00,2023-01-20,7.5,36,46.85,23,14.72,78,2.36
251,370.0,55,call,NFLX,318.15,2023-01-18 13:00,2023-01-27,8.26,43,51.85,21,16.3,78,2.6
252,360.0,54,call,NFLX,318.15,2023-01-18 13:00,2023-01-20,8.59,36,41.85,27,13.15,76,2.7
253,365.0,55,call,NFLX,318.15,2023-01-18 13:00,2023-01-27,9.35,43,46.85,24,14.72,76,2.94
254,360.0,55,call,NFLX,318.15,2023-01-18 13:00,2023-01-27,10.55,43,41.85,28,13.15,74,3.32
255,355.0,55,call,NFLX,318.15,2023-01-18 13:00,2023-01-20,9.79,36,36.85,31,11.58,73,3.08
256,340.0,41,call,NFLX,318.15,2023-01-18 13:00,2023-01-13,7.0,29,21.85,27,6.87,71,2.2
257,355.0,55,call,NFLX,318.15,2023-01-18 13:00,2023-01-27,11.84,43,36.85,31,11.58,71,3.72
258,350.0,55,call,NFLX,318.15,2023-01-18 13:00,2023-01-20,11.14,36,31.85,35,10.01,70,3.5
269,195.0,49,call,NVDA,176.05,2023-02-14 02:59,2023-01-13,3.89,29,18.95,27,10.76,76,2.21
270,195.0,48,call,NVDA,176.05,2023-02-14 02:59,2023-01-20,4.72,36,18.95,27,10.76,74,2.68
271,192.5,50,call,NVDA,176.05,2023-02-14 02:59,2023-01-13,4.56,29,16.45,32,9.34,73,2.59
272,195.0,49,call,NVDA,176.05,2023-02-14 02:59,2023-01-27,5.62,43,18.95,26,10.76,72,3.2
273,187.5,46,call,NVDA,176.05,2023-02-14 02:59,2023-01-06,4.2,22,11.45,39,6.5,71,2.39
274,185.0,44,call,NVDA,176.05,2023-02-14 02:59,2022-12-30,3.58,15,8.95,48,5.08,70,2.03
275,190.0,49,call,NVDA,176.05,2023-02-14 02:59,2023-01-13,5.24,29,13.95,37,7.92,70,2.98
276,192.5,49,call,NVDA,176.05,2023-02-14 02:59,2023-01-27,6.38,43,16.45,30,9.34,69,3.62
287,80.0,58,call,OKTA,71.05,2023-02-28 02:59,2023-01-13,1.86,29,8.95,32,12.6,76,2.62
288,80.0,57,call,OKTA,71.05,2023-02-28 02:59,2023-01-20,2.16,36,8.95,30,12.6,74,3.03
289,76.0,54,call,OKTA,71.05,2023-02-28 02:59,2022-12-30,1.54,15,4.95,52,6.97,72,2.17
290,77.0,54,call,OKTA,71.05,2023-02-28 02:59,2023-01-06,1.81,22,5.95,41,8.37,72,2.54
291,76.0,54,call,OKTA,71.05,2023-02-28 02:59,2023-01-06,2.1,22,4.95,48,6.97,69,2.96
300,75.0,49,call,ON,67.6,2023-02-06 05:30,2023-01-13,1.38,29,7.4,25,10.95,77,2.03
301,75.0,47,call,ON,67.6,2023-02-06 05:30,2023-01-20,1.62,36,7.4,24,10.95,75,2.4
302,74.0,50,call,ON,67.6,2023-02-06 05:30,2023-01-13,1.62,29,6.4,30,9.47,73,2.4
303,72.0,47,call,ON,67.6,2023-02-06 05:30,2023-01-06,1.55,22,4.4,37,6.51,70,2.29
304,73.0,50,call,ON,67.6,2023-02-06 05:30,2023-01-13,1.88,29,5.4,34,7.99,70,2.77
305,74.0,50,call,ON,67.6,2023-02-06 05:30,2023-01-27,2.39,43,6.4,29,9.47,69,3.53
309,170.0,35,call,PANW,160.49,2023-02-20 02:59,2023-01-20,3.65,36,9.51,22,5.93,69,2.27
312,115.0,37,call,PII,107.77,2023-01-23 05:30,2023-01-20,2.44,36,7.23,22,6.71,70,2.26
313,80.0,43,call,PYPL,72.84,2023-01-30 16:00,2023-01-20,1.56,36,7.16,21,9.83,75,2.14
314,80.0,46,call,PYPL,72.84,2023-01-30 16:00,2023-01-27,2.0,43,7.16,23,9.83,72,2.75
315,78.0,43,call,PYPL,72.84,2023-01-30 16:00,2023-01-13,1.71,29,5.16,29,7.08,71,2.34
322,130.0,36,call,QCOM,121.89,2023-01-31 02:59,2023-01-20,2.61,36,8.11,21,6.65,71,2.14
323,129.0,37,call,QCOM,121.89,2023-01-31 02:59,2023-01-13,2.48,29,7.11,25,5.83,70,2.03
324,130.0,37,call,QCOM,121.89,2023-01-31 02:59,2023-01-27,3.25,43,8.11,22,6.65,69,2.67
326,22.0,45,call,SBLK,20.28,2023-02-14 02:59,2023-01-13,0.42,29,1.72,26,8.48,73,2.1
327,22.0,43,call,SBLK,20.28,2023-02-14 02:59,2023-01-20,0.47,36,1.72,23,8.48,72,2.34
336,100.0,51,call,SMCI,90.05,,2023-01-20,2.61,36,9.95,29,11.05,74,2.9
338,175.0,58,call,SNOW,149.5,2023-02-28 13:00,2023-01-20,3.42,36,25.5,23,17.06,80,2.29
339,170.0,59,call,SNOW,149.5,2023-02-28 13:00,2023-01-13,3.67,29,20.5,30,13.71,77,2.46
340,175.0,59,call,SNOW,149.5,2023-02-28 13:00,2023-01-27,4.47,43,25.5,25,17.06,77,2.99
341,165.0,56,call,SNOW,149.5,2023-02-28 13:00,2023-01-06,3.35,22,15.5,36,10.37,75,2.24
342,170.0,59,call,SNOW,149.5,2023-02-28 13:00,2023-01-20,4.52,36,20.5,30,13.71,75,3.03
343,170.0,60,call,SNOW,149.5,2023-02-28 13:00,2023-01-27,5.65,43,20.5,31,13.71,73,3.78
344,160.0,55,call,SNOW,149.5,2023-02-28 13:00,2022-12-30,3.33,15,10.5,53,7.02,72,2.22
345,165.0,59,call,SNOW,149.5,2023-02-28 13:00,2023-01-13,4.83,29,15.5,40,10.37,72,3.23
346,165.0,59,call,SNOW,149.5,2023-02-28 13:00,2023-01-20,5.78,36,15.5,38,10.37,70,3.86
356,390.0,34,call,URI,368.14,,2023-01-20,7.85,36,21.86,21,5.94,70,2.13
357,30.0,52,call,VIR,25.9,,2023-01-20,0.55,36,4.1,21,15.83,81,2.12
359,15.0,53,call,VIST,13.0,,2023-01-20,0.29,36,2.0,22,15.38,80,2.21
361,126.0,46,call,WSM,116.79,2022-11-17 14:00,2023-01-13,2.61,29,9.21,27,7.89,71,2.24
362,124.0,46,call,WSM,116.79,2022-11-17 14:00,2023-01-06,2.41,22,7.21,33,6.17,70,2.07
363,125.0,46,call,WSM,116.79,2022-11-17 14:00,2023-01-13,2.81,29,8.21,30,7.03,69,2.41
369,21.0,70,call,ZIM,17.92,2022-11-16 05:00,2023-01-06,0.42,22,3.08,38,17.19,81,2.37
370,20.5,63,call,ZIM,17.92,2022-11-16 05:00,2023-01-06,0.4,22,2.58,36,14.4,80,2.23
371,21.0,66,call,ZIM,17.92,2022-11-16 05:00,2023-01-13,0.51,29,3.08,35,17.19,79,2.86
372,20.5,66,call,ZIM,17.92,2022-11-16 05:00,2023-01-13,0.61,29,2.58,42,14.4,76,3.42
373,19.5,61,call,ZIM,17.92,2022-11-16 05:00,2022-12-30,0.41,15,1.58,55,8.82,75,2.3
374,20.0,67,call,ZIM,17.92,2022-11-16 05:00,2023-01-06,0.57,22,2.08,52,11.61,74,3.21
375,20.0,63,call,ZIM,17.92,2022-11-16 05:00,2023-01-13,0.64,29,2.08,44,11.61,72,3.56
376,19.5,65,call,ZIM,17.92,2022-11-16 05:00,2023-01-06,0.68,22,1.58,61,8.82,69,3.77
377,20.0,66,call,ZIM,17.92,2022-11-16 05:00,2023-01-20,0.81,36,2.08,45,11.61,69,4.53
